og_coord,closest_coord,dist
"(2970.0, 3250.0)","(2963.0, 3254.0)",8.062
"(1503.0, 5012.0)","(1507.0, 5005.0)",8.062
"(1507.0, 5005.0)","(1503.0, 5012.0)",8.062
"(2963.0, 3254.0)","(2970.0, 3250.0)",8.062
"(3531.0, 3955.0)","(3524.0, 3950.0)",8.602
"(3524.0, 3950.0)","(3531.0, 3955.0)",8.602
"(1264.0, 8333.0)","(1270.0, 8326.0)",9.22
"(1270.0, 8326.0)","(1264.0, 8333.0)",9.22
"(3257.0, 4787.0)","(3267.0, 4790.0)",10.44
"(3267.0, 4790.0)","(3257.0, 4787.0)",10.44
"(1032.0, 7744.0)","(1025.0, 7752.0)",10.63
"(1025.0, 7752.0)","(1032.0, 7744.0)",10.63
"(3625.0, 3917.0)","(3623.0, 3906.0)",11.18
"(3623.0, 3906.0)","(3625.0, 3917.0)",11.18
"(3540.0, 4574.0)","(3551.0, 4569.0)",12.083
"(3551.0, 4569.0)","(3540.0, 4574.0)",12.083
"(1383.0, 8396.0)","(1389.0, 8385.0)",12.53
"(1389.0, 8385.0)","(1383.0, 8396.0)",12.53
"(3542.0, 3398.0)","(3532.0, 3390.0)",12.806
"(3532.0, 3390.0)","(3542.0, 3398.0)",12.806
"(3844.0, 5439.0)","(3841.0, 5453.0)",14.318
"(3713.0, 4010.0)","(3727.0, 4007.0)",14.318
"(3841.0, 5453.0)","(3844.0, 5439.0)",14.318
"(3727.0, 4007.0)","(3713.0, 4010.0)",14.318
"(3517.0, 4500.0)","(3524.0, 4514.0)",15.652
"(3524.0, 4514.0)","(3517.0, 4500.0)",15.652
"(2375.0, 5694.0)","(2391.0, 5691.0)",16.279
"(2391.0, 5691.0)","(2375.0, 5694.0)",16.279
"(4533.0, 1859.0)","(4518.0, 1849.0)",18.028
"(4518.0, 1849.0)","(4533.0, 1859.0)",18.028
"(3583.0, 3129.0)","(3596.0, 3142.0)",18.385
"(3596.0, 3142.0)","(3583.0, 3129.0)",18.385
"(3703.0, 4293.0)","(3708.0, 4313.0)",20.616
"(3708.0, 4313.0)","(3703.0, 4293.0)",20.616
"(3525.0, 3580.0)","(3542.0, 3592.0)",20.809
"(3542.0, 3592.0)","(3525.0, 3580.0)",20.809
"(1266.0, 9616.0)","(1287.0, 9611.0)",21.587
"(1287.0, 9611.0)","(1266.0, 9616.0)",21.587
"(3449.0, 4663.0)","(3433.0, 4648.0)",21.932
"(3433.0, 4648.0)","(3449.0, 4663.0)",21.932
"(1708.0, 8879.0)","(1727.0, 8890.0)",21.954
"(1727.0, 8890.0)","(1708.0, 8879.0)",21.954
"(2440.0, 5373.0)","(2420.0, 5363.0)",22.361
"(3289.0, 4794.0)","(3267.0, 4790.0)",22.361
"(2420.0, 5363.0)","(2440.0, 5373.0)",22.361
"(5016.0, 2277.0)","(5036.0, 2266.0)",22.825
"(5036.0, 2266.0)","(5016.0, 2277.0)",22.825
"(3038.0, 3764.0)","(3049.0, 3784.0)",22.825
"(3049.0, 3784.0)","(3038.0, 3764.0)",22.825
"(3347.0, 2774.0)","(3346.0, 2751.0)",23.022
"(3346.0, 2751.0)","(3347.0, 2774.0)",23.022
"(2965.0, 4471.0)","(2988.0, 4476.0)",23.537
"(2988.0, 4476.0)","(2965.0, 4471.0)",23.537
"(2107.0, 5925.0)","(2131.0, 5922.0)",24.187
"(2131.0, 5922.0)","(2107.0, 5925.0)",24.187
"(3823.0, 4927.0)","(3828.0, 4903.0)",24.515
"(3828.0, 4903.0)","(3823.0, 4927.0)",24.515
"(1337.0, 8490.0)","(1347.0, 8467.0)",25.08
"(1347.0, 8467.0)","(1337.0, 8490.0)",25.08
"(4900.0, 2107.0)","(4910.0, 2130.0)",25.08
"(4910.0, 2130.0)","(4900.0, 2107.0)",25.08
"(986.0, 9620.0)","(1011.0, 9617.0)",25.179
"(1011.0, 9617.0)","(986.0, 9620.0)",25.179
"(3826.0, 5421.0)","(3844.0, 5439.0)",25.456
"(4875.0, 2112.0)","(4900.0, 2107.0)",25.495
"(3202.0, 3781.0)","(3178.0, 3790.0)",25.632
"(3178.0, 3790.0)","(3202.0, 3781.0)",25.632
"(4035.0, 3812.0)","(4023.0, 3835.0)",25.942
"(3690.0, 5215.0)","(3667.0, 5227.0)",25.942
"(3667.0, 5227.0)","(3690.0, 5215.0)",25.942
"(4023.0, 3835.0)","(4035.0, 3812.0)",25.942
"(3914.0, 3032.0)","(3906.0, 3057.0)",26.249
"(3906.0, 3057.0)","(3914.0, 3032.0)",26.249
"(3902.0, 3083.0)","(3906.0, 3057.0)",26.306
"(2992.0, 4449.0)","(2988.0, 4476.0)",27.295
"(4579.0, 2198.0)","(4606.0, 2193.0)",27.459
"(4606.0, 2193.0)","(4579.0, 2198.0)",27.459
"(2347.0, 5697.0)","(2375.0, 5694.0)",28.16
"(4497.0, 1703.0)","(4471.0, 1691.0)",28.636
"(4471.0, 1691.0)","(4497.0, 1703.0)",28.636
"(2054.0, 7392.0)","(2062.0, 7364.0)",29.12
"(2062.0, 7364.0)","(2054.0, 7392.0)",29.12
"(3470.0, 3723.0)","(3475.0, 3752.0)",29.428
"(3523.0, 2993.0)","(3528.0, 2964.0)",29.428
"(3475.0, 3752.0)","(3470.0, 3723.0)",29.428
"(3528.0, 2964.0)","(3523.0, 2993.0)",29.428
"(3750.0, 3988.0)","(3727.0, 4007.0)",29.833
"(3584.0, 3099.0)","(3583.0, 3129.0)",30.017
"(1007.0, 9284.0)","(977.0, 9282.0)",30.067
"(977.0, 9282.0)","(1007.0, 9284.0)",30.067
"(3800.0, 5195.0)","(3771.0, 5203.0)",30.083
"(3771.0, 5203.0)","(3800.0, 5195.0)",30.083
"(2518.0, 4789.0)","(2547.0, 4800.0)",31.016
"(2547.0, 4800.0)","(2518.0, 4789.0)",31.016
"(2432.0, 4730.0)","(2454.0, 4752.0)",31.113
"(2454.0, 4752.0)","(2432.0, 4730.0)",31.113
"(3731.0, 2619.0)","(3734.0, 2588.0)",31.145
"(3734.0, 2588.0)","(3731.0, 2619.0)",31.145
"(4241.0, 1775.0)","(4211.0, 1766.0)",31.321
"(4211.0, 1766.0)","(4241.0, 1775.0)",31.321
"(3613.0, 3876.0)","(3623.0, 3906.0)",31.623
"(3155.0, 5138.0)","(3125.0, 5149.0)",31.953
"(3125.0, 5149.0)","(3155.0, 5138.0)",31.953
"(4915.0, 1844.0)","(4883.0, 1843.0)",32.016
"(4883.0, 1843.0)","(4915.0, 1844.0)",32.016
"(3040.0, 3983.0)","(3008.0, 3981.0)",32.062
"(3008.0, 3981.0)","(3040.0, 3983.0)",32.062
"(3147.0, 3799.0)","(3178.0, 3790.0)",32.28
"(2944.0, 4506.0)","(2912.0, 4512.0)",32.558
"(2912.0, 4512.0)","(2944.0, 4506.0)",32.558
"(3012.0, 5309.0)","(2983.0, 5294.0)",32.65
"(2983.0, 5294.0)","(3012.0, 5309.0)",32.65
"(3134.0, 3769.0)","(3147.0, 3799.0)",32.696
"(897.0, 9353.0)","(899.0, 9386.0)",33.061
"(899.0, 9386.0)","(897.0, 9353.0)",33.061
"(3731.0, 2747.0)","(3698.0, 2744.0)",33.136
"(3698.0, 2744.0)","(3731.0, 2747.0)",33.136
"(3622.0, 3723.0)","(3610.0, 3692.0)",33.242
"(3778.0, 4416.0)","(3782.0, 4383.0)",33.242
"(3782.0, 4383.0)","(3778.0, 4416.0)",33.242
"(3610.0, 3692.0)","(3622.0, 3723.0)",33.242
"(1877.0, 6933.0)","(1903.0, 6912.0)",33.422
"(1903.0, 6912.0)","(1877.0, 6933.0)",33.422
"(1843.0, 6766.0)","(1861.0, 6737.0)",34.132
"(1861.0, 6737.0)","(1843.0, 6766.0)",34.132
"(3517.0, 3358.0)","(3532.0, 3390.0)",35.341
"(3053.0, 4016.0)","(3040.0, 3983.0)",35.468
"(1319.0, 9726.0)","(1287.0, 9742.0)",35.777
"(1287.0, 9742.0)","(1319.0, 9726.0)",35.777
"(3988.0, 1039.0)","(4022.0, 1051.0)",36.056
"(2349.0, 5733.0)","(2347.0, 5697.0)",36.056
"(4022.0, 1051.0)","(3988.0, 1039.0)",36.056
"(3458.0, 5398.0)","(3432.0, 5373.0)",36.069
"(3432.0, 5373.0)","(3458.0, 5398.0)",36.069
"(3861.0, 4919.0)","(3828.0, 4903.0)",36.674
"(4568.0, 2233.0)","(4579.0, 2198.0)",36.688
"(3278.0, 5241.0)","(3270.0, 5205.0)",36.878
"(3270.0, 5205.0)","(3278.0, 5241.0)",36.878
"(3846.0, 3090.0)","(3845.0, 3127.0)",37.014
"(3845.0, 3127.0)","(3846.0, 3090.0)",37.014
"(1009.0, 9321.0)","(1007.0, 9284.0)",37.054
"(3220.0, 4790.0)","(3257.0, 4787.0)",37.121
"(3770.0, 3180.0)","(3741.0, 3156.0)",37.643
"(3741.0, 3156.0)","(3770.0, 3180.0)",37.643
"(3746.0, 2485.0)","(3784.0, 2485.0)",38.0
"(3784.0, 2485.0)","(3746.0, 2485.0)",38.0
"(4590.0, 2044.0)","(4624.0, 2027.0)",38.013
"(4624.0, 2027.0)","(4590.0, 2044.0)",38.013
"(2862.0, 5318.0)","(2872.0, 5355.0)",38.328
"(2872.0, 5355.0)","(2862.0, 5318.0)",38.328
"(3343.0, 4019.0)","(3309.0, 4001.0)",38.471
"(3309.0, 4001.0)","(3343.0, 4019.0)",38.471
"(3498.0, 3979.0)","(3524.0, 3950.0)",38.949
"(3464.0, 2341.0)","(3433.0, 2317.0)",39.205
"(3433.0, 2317.0)","(3464.0, 2341.0)",39.205
"(3559.0, 2712.0)","(3521.0, 2722.0)",39.294
"(3521.0, 2722.0)","(3559.0, 2712.0)",39.294
"(3751.0, 3118.0)","(3741.0, 3156.0)",39.294
"(5165.0, 2006.0)","(5125.0, 2009.0)",40.112
"(5125.0, 2009.0)","(5165.0, 2006.0)",40.112
"(3710.0, 5180.0)","(3690.0, 5215.0)",40.311
"(3951.0, 2869.0)","(3973.0, 2903.0)",40.497
"(3973.0, 2903.0)","(3951.0, 2869.0)",40.497
"(3759.0, 3667.0)","(3719.0, 3659.0)",40.792
"(3719.0, 3659.0)","(3759.0, 3667.0)",40.792
"(896.0, 9312.0)","(897.0, 9353.0)",41.012
"(2039.0, 9341.0)","(2023.0, 9303.0)",41.231
"(2023.0, 9303.0)","(2039.0, 9341.0)",41.231
"(3995.0, 3801.0)","(4035.0, 3812.0)",41.485
"(4097.0, 1068.0)","(4078.0, 1031.0)",41.593
"(4078.0, 1031.0)","(4097.0, 1068.0)",41.593
"(2461.0, 5300.0)","(2489.0, 5269.0)",41.773
"(2489.0, 5269.0)","(2461.0, 5300.0)",41.773
"(2992.0, 4265.0)","(2969.0, 4301.0)",42.72
"(2969.0, 4301.0)","(2992.0, 4265.0)",42.72
"(3822.0, 5583.0)","(3842.0, 5545.0)",42.942
"(3842.0, 5545.0)","(3822.0, 5583.0)",42.942
"(3708.0, 2702.0)","(3698.0, 2744.0)",43.174
"(2473.0, 4713.0)","(2454.0, 4752.0)",43.382
"(1203.0, 9878.0)","(1169.0, 9905.0)",43.417
"(1169.0, 9905.0)","(1203.0, 9878.0)",43.417
"(3095.0, 4005.0)","(3053.0, 4016.0)",43.417
"(2879.0, 5566.0)","(2851.0, 5600.0)",44.045
"(2851.0, 5600.0)","(2879.0, 5566.0)",44.045
"(3384.0, 2798.0)","(3347.0, 2774.0)",44.102
"(2909.0, 5380.0)","(2944.0, 5407.0)",44.204
"(2944.0, 5407.0)","(2909.0, 5380.0)",44.204
"(2096.0, 5968.0)","(2107.0, 5925.0)",44.385
"(4164.0, 1439.0)","(4122.0, 1424.0)",44.598
"(4122.0, 1424.0)","(4164.0, 1439.0)",44.598
"(3183.0, 4815.0)","(3220.0, 4790.0)",44.654
"(3425.0, 4701.0)","(3449.0, 4663.0)",44.944
"(2033.0, 7299.0)","(1989.0, 7309.0)",45.122
"(1989.0, 7309.0)","(2033.0, 7299.0)",45.122
"(1328.0, 9590.0)","(1287.0, 9611.0)",46.065
"(5103.0, 1856.0)","(5139.0, 1885.0)",46.228
"(5139.0, 1885.0)","(5103.0, 1856.0)",46.228
"(4762.0, 2277.0)","(4801.0, 2251.0)",46.872
"(4801.0, 2251.0)","(4762.0, 2277.0)",46.872
"(3870.0, 5490.0)","(3841.0, 5453.0)",47.011
"(3900.0, 2946.0)","(3853.0, 2947.0)",47.011
"(3853.0, 2947.0)","(3900.0, 2946.0)",47.011
"(4057.0, 3441.0)","(4068.0, 3395.0)",47.297
"(4068.0, 3395.0)","(4057.0, 3441.0)",47.297
"(3560.0, 2929.0)","(3528.0, 2964.0)",47.424
"(4157.0, 1392.0)","(4122.0, 1424.0)",47.424
"(2138.0, 5875.0)","(2131.0, 5922.0)",47.518
"(2740.0, 5117.0)","(2701.0, 5145.0)",48.01
"(2701.0, 5145.0)","(2740.0, 5117.0)",48.01
"(4555.0, 2400.0)","(4509.0, 2386.0)",48.083
"(949.0, 8631.0)","(903.0, 8645.0)",48.083
"(4509.0, 2386.0)","(4555.0, 2400.0)",48.083
"(903.0, 8645.0)","(949.0, 8631.0)",48.083
"(4546.0, 2065.0)","(4590.0, 2044.0)",48.754
"(3215.0, 5435.0)","(3179.0, 5402.0)",48.836
"(2437.0, 5629.0)","(2428.0, 5581.0)",48.836
"(2428.0, 5581.0)","(2437.0, 5629.0)",48.836
"(3179.0, 5402.0)","(3215.0, 5435.0)",48.836
"(5013.0, 2517.0)","(5055.0, 2492.0)",48.877
"(5055.0, 2492.0)","(5013.0, 2517.0)",48.877
"(1849.0, 6090.0)","(1898.0, 6086.0)",49.163
"(1898.0, 6086.0)","(1849.0, 6090.0)",49.163
"(4838.0, 2421.0)","(4882.0, 2443.0)",49.193
"(4882.0, 2443.0)","(4838.0, 2421.0)",49.193
"(2984.0, 3556.0)","(2956.0, 3597.0)",49.649
"(2956.0, 3597.0)","(2984.0, 3556.0)",49.649
"(3686.0, 5273.0)","(3667.0, 5227.0)",49.769
"(954.0, 9376.0)","(1004.0, 9378.0)",50.04
"(1004.0, 9378.0)","(954.0, 9376.0)",50.04
"(3395.0, 3790.0)","(3392.0, 3740.0)",50.09
"(3392.0, 3740.0)","(3395.0, 3790.0)",50.09
"(4836.0, 2215.0)","(4801.0, 2251.0)",50.21
"(3350.0, 3220.0)","(3393.0, 3246.0)",50.249
"(3390.0, 2291.0)","(3433.0, 2317.0)",50.249
"(3393.0, 3246.0)","(3350.0, 3220.0)",50.249
"(3621.0, 4007.0)","(3606.0, 4055.0)",50.289
"(1373.0, 9631.0)","(1421.0, 9616.0)",50.289
"(3606.0, 4055.0)","(3621.0, 4007.0)",50.289
"(1421.0, 9616.0)","(1373.0, 9631.0)",50.289
"(4503.0, 2278.0)","(4500.0, 2329.0)",51.088
"(4500.0, 2329.0)","(4503.0, 2278.0)",51.088
"(4598.0, 1982.0)","(4624.0, 2027.0)",51.971
"(2776.0, 5645.0)","(2724.0, 5641.0)",52.154
"(2724.0, 5641.0)","(2776.0, 5645.0)",52.154
"(1891.0, 6315.0)","(1840.0, 6326.0)",52.173
"(1840.0, 6326.0)","(1891.0, 6315.0)",52.173
"(3585.0, 3969.0)","(3621.0, 4007.0)",52.345
"(3652.0, 4307.0)","(3703.0, 4293.0)",52.887
"(3967.0, 3031.0)","(3914.0, 3032.0)",53.009
"(1392.0, 5124.0)","(1445.0, 5122.0)",53.038
"(1445.0, 5122.0)","(1392.0, 5124.0)",53.038
"(4337.0, 2358.0)","(4390.0, 2355.0)",53.085
"(4390.0, 2355.0)","(4337.0, 2358.0)",53.085
"(3510.0, 3792.0)","(3475.0, 3752.0)",53.151
"(1782.0, 9271.0)","(1830.0, 9294.0)",53.226
"(1830.0, 9294.0)","(1782.0, 9271.0)",53.226
"(2635.0, 5388.0)","(2589.0, 5415.0)",53.339
"(2589.0, 5415.0)","(2635.0, 5388.0)",53.339
"(3584.0, 4804.0)","(3637.0, 4811.0)",53.46
"(3637.0, 4811.0)","(3584.0, 4804.0)",53.46
"(2694.0, 4589.0)","(2726.0, 4546.0)",53.6
"(2726.0, 4546.0)","(2694.0, 4589.0)",53.6
"(3589.0, 3424.0)","(3542.0, 3398.0)",53.712
"(3536.0, 3745.0)","(3510.0, 3792.0)",53.712
"(3511.0, 3528.0)","(3525.0, 3580.0)",53.852
"(3624.0, 4493.0)","(3624.0, 4439.0)",54.0
"(3624.0, 4439.0)","(3624.0, 4493.0)",54.0
"(3561.0, 4306.0)","(3549.0, 4359.0)",54.342
"(3549.0, 4359.0)","(3561.0, 4306.0)",54.342
"(3127.0, 3961.0)","(3095.0, 4005.0)",54.406
"(4741.0, 2086.0)","(4760.0, 2137.0)",54.424
"(4760.0, 2137.0)","(4741.0, 2086.0)",54.424
"(2800.0, 5218.0)","(2854.0, 5210.0)",54.589
"(2854.0, 5210.0)","(2800.0, 5218.0)",54.589
"(1271.0, 9110.0)","(1316.0, 9079.0)",54.644
"(1316.0, 9079.0)","(1271.0, 9110.0)",54.644
"(2832.0, 5094.0)","(2829.0, 5039.0)",55.082
"(2829.0, 5039.0)","(2832.0, 5094.0)",55.082
"(3845.0, 2661.0)","(3808.0, 2620.0)",55.227
"(3808.0, 2620.0)","(3845.0, 2661.0)",55.227
"(1167.0, 7817.0)","(1186.0, 7869.0)",55.362
"(1186.0, 7869.0)","(1167.0, 7817.0)",55.362
"(3228.0, 5376.0)","(3179.0, 5402.0)",55.471
"(909.0, 9258.0)","(896.0, 9312.0)",55.543
"(877.0, 8915.0)","(905.0, 8866.0)",56.436
"(3001.0, 3925.0)","(3008.0, 3981.0)",56.436
"(905.0, 8866.0)","(877.0, 8915.0)",56.436
"(2950.0, 5341.0)","(2909.0, 5380.0)",56.586
"(4013.0, 988.0)","(3988.0, 1039.0)",56.798
"(2898.0, 5247.0)","(2948.0, 5220.0)",56.824
"(2948.0, 5220.0)","(2898.0, 5247.0)",56.824
"(3681.0, 3929.0)","(3625.0, 3917.0)",57.271
"(1671.0, 4852.0)","(1714.0, 4890.0)",57.385
"(1714.0, 4890.0)","(1671.0, 4852.0)",57.385
"(3099.0, 4883.0)","(3092.0, 4826.0)",57.428
"(3092.0, 4826.0)","(3099.0, 4883.0)",57.428
"(3076.0, 3342.0)","(3056.0, 3396.0)",57.585
"(3056.0, 3396.0)","(3076.0, 3342.0)",57.585
"(2850.0, 3755.0)","(2805.0, 3791.0)",57.628
"(2805.0, 3791.0)","(2850.0, 3755.0)",57.628
