X,Y,cluster_id
1074.0,10007.0,74
4782.0,2305.0,205
4401.0,1612.0,206
4922.0,2329.0,351
927.0,8886.0,199
3377.0,5323.0,233
1349.0,8397.0,359
3860.0,3069.0,53
2871.0,4119.0,366
3134.0,4197.0,286
4225.0,2161.0,71
4173.0,1469.0,13
2320.0,5819.0,293
3145.0,3472.0,8
3496.0,2707.0,14
3851.0,4842.0,102
2369.0,5367.0,281
3943.0,3666.0,295
3112.0,5173.0,360
2963.0,4386.0,239
3209.0,4825.0,9
3677.0,3116.0,362
3871.0,4234.0,93
3722.0,3073.0,150
2809.0,4958.0,45
4850.0,1930.0,341
2860.0,5510.0,328
3259.0,3659.0,10
1068.0,8709.0,383
3722.0,5239.0,27
3658.0,4713.0,394
3075.0,5291.0,78
3088.0,4915.0,279
3426.0,3224.0,6
4010.0,2721.0,57
4095.0,1418.0,13
3901.0,2430.0,246
3842.0,3080.0,53
3089.0,5295.0,78
4004.0,3645.0,344
1833.0,6548.0,371
983.0,9056.0,35
3871.0,4844.0,102
2654.0,5332.0,151
3698.0,4767.0,326
1142.0,8870.0,358
1901.0,6509.0,265
3758.0,2480.0,1
989.0,8901.0,274
3422.0,4642.0,155
837.0,8821.0,303
4059.0,6127.0,223
3386.0,4135.0,377
3590.0,5249.0,183
3492.0,4983.0,235
5174.0,1849.0,82
1925.0,7145.0,249
1926.0,6296.0,273
3382.0,4969.0,251
854.0,7702.0,49
4784.0,2176.0,204
1185.0,8160.0,92
4760.0,1995.0,229
3709.0,5315.0,276
3695.0,2653.0,217
2841.0,4886.0,339
3233.0,3815.0,68
3462.0,3950.0,36
1118.0,8048.0,315
4042.0,3821.0,203
3941.0,4325.0,379
2567.0,5438.0,186
1139.0,9467.0,15
3903.0,3948.0,33
2840.0,3793.0,26
3011.0,4892.0,266
3496.0,3558.0,258
3329.0,3352.0,353
3629.0,3754.0,352
3276.0,3636.0,10
2999.0,4963.0,3
3172.0,3734.0,24
891.0,9391.0,395
2806.0,5666.0,2
3856.0,2702.0,268
1888.0,6942.0,312
4604.0,1937.0,275
5011.0,2020.0,16
661.0,8866.0,392
972.0,8194.0,365
4498.0,1979.0,69
875.0,9116.0,41
3725.0,2857.0,19
2674.0,5140.0,165
5193.0,2381.0,280
2887.0,3843.0,80
3219.0,4809.0,9
4602.0,2474.0,32
3080.0,4237.0,200
4912.0,2228.0,207
3995.0,3033.0,37
2544.0,4454.0,385
2942.0,5119.0,137
3160.0,3672.0,10
1078.0,10083.0,74
1039.0,9394.0,308
882.0,8730.0,261
2669.0,5693.0,247
5000.0,2491.0,34
1322.0,5224.0,84
1315.0,8593.0,346
1223.0,9077.0,355
3143.0,4815.0,94
3111.0,3683.0,10
3039.0,3323.0,149
4016.0,2712.0,57
2851.0,5638.0,2
2321.0,4944.0,236
3432.0,2319.0,369
2381.0,4946.0,46
3469.0,3778.0,212
1034.0,9803.0,234
1775.0,4868.0,75
994.0,9636.0,216
1861.0,6796.0,202
3615.0,2707.0,380
3046.0,5441.0,227
2689.0,4443.0,18
1227.0,8268.0,347
5000.0,2441.0,34
4858.0,1835.0,361
2856.0,4992.0,381
1823.0,7373.0,154
2783.0,5345.0,22
4148.0,1449.0,13
1794.0,4855.0,75
1797.0,7362.0,154
1325.0,7672.0,208
3798.0,3600.0,263
607.0,8879.0,314
853.0,9150.0,41
2913.0,4634.0,294
5193.0,1914.0,270
4021.0,5886.0,291
4508.0,2069.0,50
3665.0,2216.0,269
3102.0,3443.0,8
917.0,9668.0,39
883.0,9676.0,39
882.0,9607.0,201
1230.0,8180.0,92
1982.0,6969.0,364
1998.0,4906.0,179
1334.0,8950.0,390
2922.0,5392.0,264
1282.0,8126.0,284
2026.0,7373.0,86
2410.0,5438.0,250
3878.0,3456.0,386
2095.0,4906.0,343
3831.0,5276.0,287
2740.0,3793.0,116
1371.0,8657.0,77
2769.0,5463.0,349
2942.0,5263.0,175
2679.0,5215.0,336
1348.0,9168.0,300
3362.0,2666.0,292
1950.0,6654.0,305
4219.0,1308.0,333
1996.0,5903.0,241
3833.0,3280.0,387
3946.0,2241.0,389
3389.0,5123.0,289
3068.0,3481.0,8
1277.0,9180.0,301
3070.0,4177.0,393
3821.0,4421.0,243
3596.0,3329.0,7
2492.0,5393.0,384
4016.0,3513.0,283
1137.0,7806.0,28
3496.0,4011.0,36
3754.0,4921.0,63
4404.0,2029.0,54
4011.0,1021.0,145
2715.0,5381.0,22
2676.0,4654.0,38
3609.0,4689.0,345
1274.0,8912.0,307
3062.0,5152.0,197
3431.0,4661.0,155
2705.0,4501.0,18
4167.0,2137.0,357
3191.0,2522.0,211
1041.0,9943.0,370
3713.0,4831.0,338
4001.0,2252.0,228
3098.0,3405.0,8
